Week,Python,Java,C++
4/21/2019,55,55,18
4/28/2019,52,50,16
5/5/2019,56,56,17
5/12/2019,56,61,18
5/19/2019,57,56,17
5/26/2019,55,57,17
6/2/2019,54,58,15
6/9/2019,58,55,16
6/16/2019,58,56,16
6/23/2019,60,57,16
6/30/2019,57,54,16
7/7/2019,60,58,17
7/14/2019,60,57,17
7/21/2019,56,55,15
7/28/2019,59,53,16
8/4/2019,57,54,16
8/11/2019,54,51,16
8/18/2019,61,58,19
8/25/2019,59,60,19
9/1/2019,62,57,19
9/8/2019,64,58,21
9/15/2019,67,64,22
9/22/2019,65,61,22
9/29/2019,67,55,20
10/6/2019,64,58,21
10/13/2019,68,60,22
10/20/2019,63,58,21
10/27/2019,61,54,21
11/3/2019,64,58,21
11/10/2019,66,57,22
11/17/2019,69,60,22
11/24/2019,65,55,20
12/1/2019,63,59,20
12/8/2019,60,53,19
12/15/2019,60,51,18
12/22/2019,42,39,13
12/29/2019,41,37,12
1/5/2020,57,50,17
1/12/2020,59,53,18
1/19/2020,60,53,18
1/26/2020,63,56,18
2/2/2020,62,55,17
2/9/2020,68,55,20
2/16/2020,71,59,20
2/23/2020,68,57,21
3/1/2020,67,58,20
3/8/2020,62,52,19
3/15/2020,59,48,17
3/22/2020,60,47,18
3/29/2020,64,49,18
4/5/2020,65,48,18
4/12/2020,67,49,18
4/19/2020,66,51,19
4/26/2020,64,48,18
5/3/2020,66,49,19
5/10/2020,65,50,18
5/17/2020,65,48,18
5/24/2020,63,46,17
5/31/2020,65,49,18
6/7/2020,62,47,17
6/14/2020,64,47,16
6/21/2020,65,47,16
6/28/2020,62,48,16
7/5/2020,63,48,16
7/12/2020,65,48,16
7/19/2020,63,47,15
7/26/2020,62,46,15
8/2/2020,60,48,15
8/9/2020,59,44,15
8/16/2020,59,45,15
8/23/2020,61,46,16
8/30/2020,60,48,17
9/6/2020,68,47,18
9/13/2020,63,50,18
9/20/2020,63,48,18
9/27/2020,57,45,18
10/4/2020,61,46,19
10/11/2020,51,43,17
10/18/2020,53,44,18
10/25/2020,54,39,17
11/1/2020,47,37,16
11/8/2020,51,40,17
11/15/2020,53,42,17
11/22/2020,49,40,16
11/29/2020,52,41,15
12/6/2020,54,41,16
12/13/2020,51,39,15
12/20/2020,42,34,12
12/27/2020,37,28,12
1/3/2021,44,36,12
1/10/2021,48,39,15
1/17/2021,51,41,16
1/24/2021,50,42,15
1/31/2021,52,40,15
2/7/2021,51,40,15
2/14/2021,51,41,15
2/21/2021,53,42,18
2/28/2021,57,47,18
3/7/2021,55,44,18
3/14/2021,57,44,19
3/21/2021,58,41,18
3/28/2021,54,41,17
4/4/2021,55,41,18
4/11/2021,54,43,18
4/18/2021,59,41,18
4/25/2021,55,40,17
5/2/2021,51,39,17
5/9/2021,53,39,16
5/16/2021,57,40,18
5/23/2021,56,41,17
5/30/2021,55,41,17
6/6/2021,52,44,17
6/13/2021,50,40,16
6/20/2021,54,43,15
6/27/2021,49,38,14
7/4/2021,51,38,14
7/11/2021,51,40,14
7/18/2021,51,38,12
7/25/2021,50,39,14
8/1/2021,51,37,14
8/8/2021,48,37,13
8/15/2021,48,38,13
8/22/2021,49,37,14
8/29/2021,51,40,15
9/5/2021,53,40,17
9/12/2021,60,44,18
9/19/2021,61,43,17
9/26/2021,60,43,18
10/3/2021,61,43,19
10/10/2021,63,43,18
10/17/2021,64,44,20
10/24/2021,62,45,18
10/31/2021,59,39,17
11/7/2021,63,43,20
11/14/2021,65,45,20
11/21/2021,60,44,19
11/28/2021,63,47,19
12/5/2021,63,45,20
12/12/2021,60,47,18
12/19/2021,57,41,17
12/26/2021,47,32,14
1/2/2022,69,47,20
1/9/2022,75,49,21
1/16/2022,70,49,21
1/23/2022,78,50,24
1/30/2022,76,52,22
2/6/2022,86,58,25
2/13/2022,97,61,27
2/20/2022,89,60,26
2/27/2022,90,60,27
3/6/2022,93,61,29
3/13/2022,87,59,28
3/20/2022,99,60,30
3/27/2022,100,59,29
4/3/2022,97,66,28
4/10/2022,91,57,25
4/17/2022,94,60,27
4/24/2022,98,60,26
5/1/2022,89,56,24
5/8/2022,93,58,27
5/15/2022,81,57,27
5/22/2022,86,55,26
5/29/2022,80,52,23
6/5/2022,79,51,23
6/12/2022,81,52,24
6/19/2022,86,53,22
6/26/2022,80,52,22
7/3/2022,82,50,21
7/10/2022,81,53,21
7/17/2022,78,55,21
7/24/2022,78,55,21
7/31/2022,78,53,21
8/7/2022,75,51,21
8/14/2022,77,50,21
8/21/2022,82,56,24
8/28/2022,78,50,22
9/4/2022,80,53,25
9/11/2022,82,60,27
9/18/2022,93,60,28
9/25/2022,88,57,27
10/2/2022,85,52,24
10/9/2022,90,55,29
10/16/2022,92,60,29
10/23/2022,93,53,26
10/30/2022,89,56,26
11/6/2022,95,57,28
11/13/2022,97,61,31
11/20/2022,86,54,26
11/27/2022,93,54,26
12/4/2022,89,53,27
12/11/2022,92,54,25
12/18/2022,80,49,21
12/25/2022,65,41,18
1/1/2023,73,47,19
1/8/2023,82,49,21
1/15/2023,84,53,22
1/22/2023,94,50,22
1/29/2023,93,56,23
2/5/2023,92,57,25
2/12/2023,91,55,23
2/19/2023,90,54,23
2/26/2023,90,54,24
3/5/2023,87,51,23
3/12/2023,89,54,23
3/19/2023,91,54,22
3/26/2023,88,52,22
4/2/2023,83,48,20
4/9/2023,80,49,21
4/16/2023,81,50,20
4/23/2023,81,49,19
4/30/2023,71,43,17
5/7/2023,74,44,18
5/14/2023,76,48,18
5/21/2023,79,49,18
5/28/2023,75,45,18
6/4/2023,70,46,17
6/11/2023,74,47,17
6/18/2023,73,45,16
6/25/2023,70,46,16
7/2/2023,71,45,16
7/9/2023,76,47,17
7/16/2023,73,47,16
7/23/2023,72,46,16
7/30/2023,71,47,16
8/6/2023,72,45,18
8/13/2023,70,41,16
8/20/2023,75,45,17
8/27/2023,78,46,18
9/3/2023,78,48,19
9/10/2023,82,48,20
9/17/2023,82,49,22
9/24/2023,81,47,21
10/1/2023,82,47,21
10/8/2023,79,50,21
10/15/2023,82,49,22
10/22/2023,81,45,22
10/29/2023,78,47,21
11/5/2023,77,46,20
11/12/2023,80,44,20
11/19/2023,74,42,19
11/26/2023,79,44,21
12/3/2023,79,46,21
12/10/2023,74,45,19
